sentiment,text
NEGATIVE,I had originally posted a review where i berated everything here from the service to the food. It got removed by the owner/Yelp. So I will summarize my review. Food
NEGATIVE,"Now, I'm from Arizona so this review may seem a bit unfair. I compare all Mexican food, especially when claiming to be authentic, to the food I grew up with."
NEGATIVE,"Absolutely the worst experience I've ever had with an urgent care. I made an appointment for my husband, who was having intense stomach pains and nausea. When we arrived they"
NEGATIVE,"Holy moly!  Don't come on a Sunday!   Out of veggie burger's, mac & cheese bits and coke!  Then the fryer went out!!!There were 7 of us"
NEGATIVE,My wife and I came in tonight. We asked to be reseated to another booth so we could have more room for our 7 month old. The next thing we
NEGATIVE,"7/01/10I've had Tortas El Guero bookmarked for a couple of weeks when a friend told me of the wonderful torta she had here recently, I thought I'd visit it on"
NEGATIVE,This review is rather difficult to put together.....very mixed.  The school by itself is terrible.  The administration (the president of the school is a joke) is a little
NEGATIVE,My boyfriend was in town and i wanted to celebrate his birthday at a good restaurant. We decided to go to Bobby's big MISTAKE!  Here is why*We had made
POSITIVE,Stopped there on the way to a business meeting for a quick bite to eat. Found out they have one of the best caprese panini i have ever had. I
NEGATIVE,Don't order the sandwich or side salad. It was gross. Note to self if you go to a pizza lace order the pizza. Service is not even good.
NEGATIVE,So I've been a regular customer for about 10 years+ and I have never had a problem arise until today. My family enjoy having Dairy Queen's ice cream cakes because
POSITIVE,This is a great hotel physically and service wise. The people that staff this hotel are really helpful and truly do have great customer service. Before I could even hunt
POSITIVE,We had a phenomenal experience with our All Night Long dj for our April 5 wedding reception at the Flamingo. I had a bunch of specific requests and the DJ
NEGATIVE,I have seen other cirque de sole shows and this was not cirque de sole. We did not enjoy it at all. The acts were nothing special and it was
POSITIVE,"Great staff, lots of quality goodies to choose from for the home.. Always shop there..."
NEGATIVE,"Horrible! The check in took an hour! The place is run down and dirty. The elevators are filthy, we will NEVER go back there!"
POSITIVE,This place is not like the Wynn or Bellagio buffets but it's still pretty good. Ridiculous line at dinner so make sure to go a little early if you're not
NEGATIVE,There are a variety of different shuttle companies and they all charge the same amount ($13.50 round trip). There were about 3-4 right as I was getting my bags. This
NEGATIVE,We wondered about this place every time we drove by and finally decided to check it out tonight.  The staff was friendly and the service was good but... The
NEGATIVE,"From NY & know a good pizza, Caesar salad & spaghetti & meatballs.  Not here.The pizza crust was crispy on the outside, however it got soggy toward the middle."
NEGATIVE,"This place is not worth the price. Fortunately, we did get one entree free (by going to the place where you get cheap show tickets). Our filets mignons were overcooked"
POSITIVE,AYCE Korean BBQ. Mmm. What does that mean for a meat lover? Food Coma.Stopped by Sura with some friends from out of town (totalling 11 people). It was about 6:30pm.
POSITIVE,"I originally found Marshall at Bright Volvo by a simple Google search. I needed an alternative to the dealer, if you know the dealer in LV you'll know what I"
NEGATIVE,"Not a great experience so far.  Check in the lady was rude and wasn't helpful.  The rooms are gross, dirty carpet, stains, dirty baseboard, almost like a Super8."
NEGATIVE,"I have been on the hold for 20 minutes, a lady named Alexis comes on and I ask her to put me through to the customer rep that can go"
NEGATIVE,"I have yet to be come to this location, after a dozen times, where they don't have a line out the door due to being understaffed and not having pizzas"
NEGATIVE,"I didn't even get to try the food. I tried to order delivery, the first time I called they hung up on me without saying anything. The second time I"
NEGATIVE,"I barely review any service on Yelp, but I feel I have to leave one for my recent hair cut. I feel bad because the owner is sweet and nice,"
NEGATIVE,Queso arrived lukewarm. It was solid due to not being hot enough. My food arrived cold. The server had it removed from the bill but one would think a manager
POSITIVE,The Summer Roll appetizer and the Mushroom Entree was delicious.  This is my first of many trips here. All Aces!
POSITIVE,Very nice. Got in quickly. Dr was Nice.
POSITIVE,"I love Savers. That about sums it up into words. I'm not saying I find a deal every time I go there, but I have been lucky enough to get"
POSITIVE,The cooks at this particular Denny's are very good.  The wait staff are friendly and quick.  My mom and I eat breakfast here often and have never been
NEGATIVE,"Great food, but who wants to go to a restaurant in Vegas, in the summer, that has broken air conditioning?! This is something that seriously needs to be fixed!! How"
NEGATIVE,"I have to agree with Steven R.  ""what the hell happened?""  This place used to be cool.  It is not even a brewery anymore, deceiving name! "
POSITIVE,"Great burgers, casual atmosphere, and an extremely service-oriented staff. Sean was great and a super waiter! The casual yet higher-end atmosphere was just what we were looking for after a"
NEGATIVE,"Not sure why this place has so many good reviews. The chow mein is slimey, the beef and chicken has no flavor. Their prices are outrageous for the type of"
POSITIVE,LOVED this place.  The waiter suggested an AMAZING red wine to us!  The food was amazing!  I've had pasta dishes all over and this was by far
NEGATIVE,Very rude. When I told them what I wanted fixed he was more rude. I say he because I wasn't told a name Of who was doing my nails. Had
POSITIVE,My son takes lessons here...best indoor skate park in the valley.  Very well run.  Instructors are great!
NEGATIVE,"Gerald does not reply to voice mails, emails or phone calls. Horrible customer service to ignore a client like that. The actual pool service is good even though they aren't"
POSITIVE,We had a wonderful breakfast here but the most wonderful thing was that the manager sang for us... We loved it--- the place brought back all the warm fuzzy feelings
POSITIVE,The place is kind of small so you can expect a wait if you go on a weekend.  This is a very popular spot and what's not to love?
NEGATIVE,We ate here for Brunch on Sunday after checking out of our hotel.  It was definitely disappointing for an Emeril restaurant.  I ordered the seared mahi mahi sandwich
POSITIVE,Arturo was at my house in less than an hour from the original call for help. He quickly figured out what was causing my plumbing problems and worked quickly to
NEGATIVE,Ok.  So let me start this by saying that I love watching movies and as soon as I found out there was a new theater opening up right down
NEGATIVE,This visit - 2 Stars.The quality of the crawfish I ate last night was terrible.  I do not think I will return to this place after last night's experience.
POSITIVE,"I love wahoos!! There are so many healthy and delicious food items on the menu! The staff is great and the prices are very reasonable! Surfboards, bikes, and skateboards give"
NEGATIVE,So I was in Vegas over Thanksgiving week and we were going to go to the Bellagio buffet on Thanksgiving day. There was a 3 hr wait. We decided to
NEGATIVE,I usually don't write bad reviews. I love my coffee and I have expectations. No caramel drizzle and no cup holders?? Inventory personnel need to be fired. End of rant
NEGATIVE,This happened to me today. I read revies where it has happened to many others. I was their early and waited10 minutes till they opened. Came for seafood.when I got
NEGATIVE,I was here for brunch and found my meal to be dry and unfufilling.  The restaurant was nice - did a great job of feeling like a french brasserie
NEGATIVE,Sorry this restaurant does not allow me to protect my family. As a legal gun owner I am not a felon or a domestic abuser. I can't say the same
POSITIVE,This is a great sandwich shop. It's like you go and visit your grandma and she asks if you want a sandwich. That's the kind of sandwich they are giving
POSITIVE,"Excellent food, perfect service.  We had a party of 6 and ordered the foie gras, escargots and cheese plate as our appetizers.  All were really great, but the"
NEGATIVE,"Can I press zero stars on here?Don't go there, its not worth it !!!!! They make you stand  in the line for ever. However, when you get inside "
POSITIVE,We had an awesome stay. We checked quite late at night and our room wasn't available which was a suite. We ended up getting upgraded to an 1800 sq ft
POSITIVE,Came in on a Tuesday for lunch and encountered a 30 minute wait.  This place is small and definitely does not have enough seats for all the people waiting
POSITIVE,"When I go here, I generally tend to show up on week nights. It's got a good feel that's both relaxed and intimate. You can hold a conversation over surprisingly"
NEGATIVE,"Ridiculously overpriced. $9 for a slice of cheesecake. It was good, but I've had better. Too bad the Stage isn't around anymore."
NEGATIVE,"I went into this urgent care because of blurry vision, I was told they could not or would not see me, I needed to go to the emergency room. Then"
POSITIVE,Cookies Cookies Cookies!I dropped in for lunch yesterday for the first time.  I had pure intentions of a healthy and well balanced meal......One of each cookie and a cup
NEGATIVE,"Don't get me wrong, it's a very very nice place to stay!  but I just think that they have some room for improvement.  The room was very nice,"
POSITIVE,I enjoy the quality of food. It is always consistant and they have friendly people taking your order. Beware of Sat and Sun afternoons. And lunch hours. They have an
POSITIVE,"Decent food, good beer, chill crowd.  I rotate between there and p-stone regularly, always a good time."
POSITIVE,"I have seen some magic shows in Vegas, and Mac King has beat out the others on so many levels.  You don't even need a drink to start laughing!"
POSITIVE,"It's Pops for Pizza or No Place at All.  Seriously - this is the best pizza you will ever have - deep dish, that is.  And yes, I've"
NEGATIVE,The Uptown location was perfect for the purpose of our trip. We were in town for a football game. It is a nice walk from the Omni to the BOA
POSITIVE,"Usually get TO GO most of the time.  Always enjoyed their combination Pho and summer rolls.  If you live in or near the university area, this is the"
POSITIVE,Great place came down here and got the steak speical. The steak and potato were not seasoned but my wife and I only paid 17 dollars for a meal and
POSITIVE,Great teppanyaki for the Green Valley/Anthem area
NEGATIVE,- 13 ppl at one table & 1 server- there was only 1 other table there- server dropped pork belly on my friends hat. then put it on the grill.
POSITIVE,"The best eggplant ever.  Not too much Breading, delicious sauce. Try it in a sandwich or with pasta!  Manga Manga"
NEGATIVE,"Good food, but TERRIBLE service.... so bad I will not go back."
POSITIVE,I love the Royal Thai and am never disappointed in my meals there... Although I wish they would kick up the heat level on spicy Thai #5 a bit!I'm a
NEGATIVE,"Ordered gluten free pasta with shrimp, asparagus,  mushrooms and spinach. Got a bowl of pasta. 5 baby shrimp and no asparagus tips. Very disappointed to pay extra for nothing."
POSITIVE,What a great restaurant! The first comment I have to make is that the thermostat temperature was PERFECT! I've never walked into a restaurant and been more comfortable in my
POSITIVE,So I'm here flexing my keegle muscles so I can stop myself from prematurely ejaculating from the wonderful experience that is eating at this superb establishment. The owner greeted everyone
POSITIVE,A cozy though busy corner spot for brunch. We tried savory and sweet crêpes... I'd stick with the sweet.
NEGATIVE,Pizza was unimpressive and my slice was cold. The pizzas that they had out looked  as if they've been there for quite some time. As soon as you walk
POSITIVE,Yummy.. Wanted to wait till I finished my last mixta pupusa... Nice staff here. Small hidden place next to Target... There made fresh.. They come with salsa and shredded cabbage.
POSITIVE,Food is so good. I've eaten here several times and can't think of a time when the food wasn't great. Get some Irish in you and check it out!
NEGATIVE,"This place is a total ripoff. I had one shirt and one set of pants dry-cleaned, charge: 11.38!! Never setting my foot in that place again. I'll use the place"
NEGATIVE,"HORRIBLE!!!  I'm still upset by the experience I received at this place.  After 13 years in the hospitality industry, I have never experienced anything this bad.  If"
POSITIVE,Easily among the best slices in Madison.
NEGATIVE,This place is a free for all. Children running everywhere no moniters in sight. I kept seeing so many children being hit by others....as soon as I noticed one area
NEGATIVE,"We used to really enjoy this place. Everything had been consistent and tasty overall. One dish in particular was our favorite, chicken del sol. However, we got it to go"
POSITIVE,"I like hitting up Pinky's when I'm in a certain mood. It has a chill vibe that always calms me down.  The food is greasy and unhealthy, but not"
POSITIVE,"Sin City Burger, I've missed you.  Just a little over 2 years ago, the Smashburger was a wee tot and had just opened up.  I had the pleasure"
POSITIVE,Excellent! !!!!  Go there immediately.  The stuffed pineapple is amazing. Being from Los Angeles we have good authentic Mexican food. This place surpasses anything I have had in
POSITIVE,Absolutely amazing and true to the ratings and reviews. Best steak sandwich I've had!! A must try!
POSITIVE,"Excellent service! As I got gypped by FastMed at 48th/Baseline charging Medicare $300.00 (139,00 that I have to pay) for a 10 min visit for a sinus infection, I was"
NEGATIVE,"I have never been to an allergist until I came here. Worst experience ever. I went in for my appointment which they told me would take 2 hours. Understandable, they"
POSITIVE,Best BWW in the area. The staff at this location is great! This is always a busy place. They offer seating outdoors or indoors on the restaurant side or at
NEGATIVE,"Simple: Let down. Highly anticipated a great taco dinner, and was greeted with disappointment.  Asked for hard shell, soft shell was brought out. Chicken torta was ordered, but chicken"
POSITIVE,"This place gets four stars because it is vegan friendly.  A bit pricey, I admit, but try and go for the half-price menu, after 11 pm and if you"
NEGATIVE,Terrible!! When we are greeted @ the door the hostess tells us there is a $15.00 minimum per person per hour...trust me that's not a problem but such a turn
NEGATIVE,I live 4 blocks away and they will not deliver to me I'm out range. However my next door neighbors can get their pizza delivered.
POSITIVE,The Peppermill rocked!! I went there in December for my birthday after watching a new Frank Sinatra show at the Encore. It was only a few blocks walk through the
POSITIVE,"Spot on! You won't regret stepping feet into this fine establishment and be greeted by the magical aroma of Montreal steamies, delicious fish & chips, tasty fries and their legendary"
NEGATIVE,Went here to grab some lunch. They didn't have the two beers I asked for on draft nor the bottle of (Newcastle!!) that I asked for instead. Service was slow.
POSITIVE,"Very authentic and tasty food. We came on a Wednesday to get the Cream of Mushroom soup; YUM! They have different soups each day of the week, so if you"
POSITIVE,Try the Mussels in the hot buttery sauce and then dip your bread in the leftover sauce... just amazing! Ive been here three or four times and it's still one
NEGATIVE,"It's pretty hard to screw up Mexican food, right?  This place manages to do it quite well.  I recently went there with a large group (8 of us)"
POSITIVE,"This is a great atmosphere with some great food. the ingredients are fresh and smarty pared. Get the Habanero hot sauce, very good!"
POSITIVE,OMG! Where to begin...LoL! Home Goods has been my one-stop-shop ever since I bought my home back in 2008. It's kind of dangerous for me (and my mom) to walk
POSITIVE,Loved the entire experience. I love that you can bring or order wine to paint with your friends. They have an instructor who walks you through each step of the
NEGATIVE,Go to Roberto's for nachos....Taco y Taco nachos were no bueno. Chicken tacos were alright. One star for the soda and one star for the flan.
NEGATIVE,"Don't go through the drive through. They F you in the drive through. Multiple different times throughout 3 years, I have been F'ed consistently. Hamburgers with no meat (hard to"
POSITIVE,I went here with some friends as part of a dinner/show package and was very impressed! We were all on the pre fix menu as part of said package and
NEGATIVE,"I ordered a couch through this company. Upon delivery the guys scratched it. I told them and they acted like, o, well, it wasn't our fault. Your door is tpo"
POSITIVE,"After dealing with a few different allergy tests and getting no real results or options, both my husband and myself made appointments.  Dr. Schubert is a wonderful, very knowledgeable"
POSITIVE,Over the last few years my wife has not been able to leave Las Vegas without a stop at Silverpost and Western Barn.  The last 2 visits have resulted
POSITIVE,Very refreshing juice spot overall. Close to the LVAC on 215/Flamingo. Delicious fresh pressed juices and a few smoothie options. They also provide a 10-15 minute demo with explanations of
NEGATIVE,2 employees working with 5 people waiting. I had to leave after waiting a half hour. I understand cutting costs and having a light staff but that's not going to
POSITIVE,"Best French restaurant we have ever been. Food and wine was great, as well as service! 5 Stars!!!"
NEGATIVE,"This local restaurant really needs a decor update..dark, dank, smelled of fish and stale beer. Food was only so so..burger was VERY overcooked despite ordering it medium. The French fries"
POSITIVE,"I had a lunch here today, pretty crowded, it's a good sign. I love this place, it's cheaper than Little Saigon. I'm a big fan now. My favorite is 24a."
POSITIVE,The only thing that sucks here is that they don't have a bar you can grab a aperitif at while waiting for your date.5 stars. Tasting menu. Awesome.
POSITIVE,Had lunch here today with Lynn W. and Rand H. Well the the place is new and the decor is well done and comfy . They have enough food selections
NEGATIVE,"Not impressed after my first visit today.  The line is very long but seemingly has no order inside the small space.  When I finally received my order, it"
NEGATIVE,"The food is really good and the prices are reasonable. The reason for the 1-star is the service which to me makes or breaks a restaurant. Firstly, I called to"
NEGATIVE,"Twice we ordered take out as Rosati's isn't far from our house and we had guests. Both times they lost our order, the 1st time we weren't told this until"
POSITIVE,"Stopped in for a quick drink! We got beers, cocktails and the garlic monkey bread. For 4.95 I didn't expect much but we would come back here for the monkey"
POSITIVE,"I came here twice in one day. Yes it sounds creepy and weird, but it was Easter and nothing else was open in wonderful Pittsburgh.The service was excellent, so this"
POSITIVE,"The best place for quick, easy and affordable shopping. I really appreciate the staff and there cheerful attitudes and helpful information. I also love all the cheap little goodies they"
POSITIVE,"I spent my honeyroom at the Flamingo and was very pleased, but not at first.  We checked in and were greeted by a very pleasant yet professional front desk"
NEGATIVE,Verizon at Northern could not activate my phone.. Go to the corporate Verizon at Metrocenter to get it done they said.I find this out after waiting 20 minutes for service.
NEGATIVE,The orange chicken was pretty good but the lo mein was so bad I can only give it one star. The pork actually smelled 'old'. I won't go back there!
NEGATIVE,I would leave one star for the horrible food but this place gets an extra star for being clean and fairly friendly.The food is terrible. The ramen had the texture
POSITIVE,This is a greasy spoon joint with all that comes with that kind of Restaurant. Its a mom and pop place a very friendly place to bring your friends or
POSITIVE,I love sole sports! Been a long time customer for years! Nick was super helpful with my running shies today and Jeremy with my sock selection. Emmet runs a great
NEGATIVE,Belle petite terrasse à Outremont. J'y suis allée pour le brunch un samedi matin sans réservation. Aucune attente à 10:00 et nous étions assises à l'intérieur mais près des portes
NEGATIVE,For the price I would recommend staying at the Venetian or Wynn instead.  The service is much better and at least you get what you pay for.  The
POSITIVE,"If you really care about your car, this place is for you. One of very few places where you can get a real hand wash. Not a lot more expensive"
NEGATIVE,When I was a patient they were nice and concerned. I took my Autistic daughter and the Dr was very nice.  The lady Maria I called to let her
NEGATIVE,"Stayed here last year (2014) it's horrible, there's kids  all over the place screaming and running in to you.  They gave us a room with very loud neighbors."
POSITIVE,"Good food, very tasty, place is very nice and intimate inside. Place looks closed and dark from the outside, but they are open, they just have curtains blocking the windows."
NEGATIVE,Have gotten pedicures here for a few years but since the change in ownership it's iffy at best. There are a few really skilled people there but last week I
NEGATIVE,"We went here on a Friday night, hearing from someone that it has great authentic Mexican food AND seeing in New Times that they received Best Margarita in Phoenix 2011..."
POSITIVE,"This is kind of my new favorite little place in Charlotte.  When you first walk in, it has a warm feel.  There are some cool pictures on the"
POSITIVE,"Excellent, excellent, excellent. Everything here is delicious and immaculate. The prices are expensive but that's to be expected for it being in a hotel. The prosciutto panini is SO addicting."
NEGATIVE,"To the venues credit, it wasnt terrible looking.However, if you are a dancer here, especially on the night we went and especially in a town where Uptown Cabaret is just"
NEGATIVE,"I had a not so good experience here. The service would have been a step up had it been terrible. But no, we sat for over 20 minutes before she"
NEGATIVE,"Vegas trip February 20, 2015/February 22, 2015. When we go to Vegas we usually stay at the Bellagio, but this time my fiancé let me pick the hotel. So I"
NEGATIVE,"ZERO stars if there were. Went in today, nail technician named Jim, Vietnamese guy, just did a horrible job with pedicure. I explained prior to starting my concerns and I"
POSITIVE,"On Sunday, I took my 16 year old daughter for her first lip piercing. I also wanted to repierce my upper/outer ear cartilege as my old piercing had closed up."
POSITIVE,"We come here almost every week to eat out and every dish we order here has the quality of freshness, satisfaction, and good service. This will be my favorite spot"
NEGATIVE,I stopped here to eat as it seemed like the healthier choice of the 2 options in terminal B. I ordered 2 chicken tacos with corn tortillas. The girls behind
POSITIVE,Yum!! Amazing drinks in a very coolSpot. You feel like you are on vacation in this indoor tiki bar . The Painkiller is the best in town and the Mai
POSITIVE,Came here on a warm summer night and it was quite warm inside the restaurant as well (a little stuffy) aside from that the sushi was really nice and fresh.
POSITIVE,Food so good I'd lick the plate. Service makes you feel like your in a four star restaurant. T
NEGATIVE,"They very friendly staff and ready agreement gets them two stars.  To be fair, the rooms were clean.  Look at the location though, (I should have, what a"
POSITIVE,My wife and I stopped in and I am glad we did! Nassar and his wife were extremely knowledgeable and friendly. They spent a lot of time showing my wife
NEGATIVE,"I can't fathom people giving this buffet a good review. Don't get me wrong, I know buffets are hit or miss but in Vegas I expect way more. We have"
NEGATIVE,ok guys real quick. I feel like I've been having some bad luck lately because I'm starting to notice more bad spots coming along in the southwest area. this place
POSITIVE,I really like this william sonoma.  the staff is very helpful and it always smell so yummy when you go by. wish i could buy everything in the store!!!
POSITIVE,"If you're in Vegas Japonais is a definite must! This is hands down, one of the best values for your money you're going to find right now. On a recent"
NEGATIVE,"Love the Asiago Cheese Bagels, but not a big fan of their sandwiches or salads, nor their very limited sides, especially at their high prices. For $8 hubby got the"
POSITIVE,"Cute lil eatery right at the entrance of the lobby at Bellagio. We went here because we needed a quick bite before the O Cirque show, which was conveniently located"
POSITIVE,"Saw this on Guy Fieris Diners, Drive-Ins, and Dives and I was impressed by the food and wine selection-and for low prices. The sausage was very good, so dig in"
NEGATIVE,"Good atmosphere,  good drinks, but the food concept is a hybrid I can't get into..... good presentation but that's it"
NEGATIVE,"Glad I came here with a Groupon because I was not impressed. Definitely not a place to pay full price at. Small portions, big price, mediocre food. Enough said.Oh, also,"
NEGATIVE,"I spoke with a manager, Erica Martin about our happy hour drinks. She was beyond rude, even started talking down about us to the staff. All because we had a"
POSITIVE,Another perk for going to AZ for Spring Training is this place and the Chihuly Exhibit which I think runs through May 2014. A ballgame in the day then the
POSITIVE,Best family owned pizza joint on the east side! The crust is flavored with the perfect seasoning. We go here for lunch often. The pricing is reasonable. It's cheaper than
POSITIVE,Good food that doesn't feel/taste like all the other casino places.  Fun atmosphere and awesome waiter equates to a 4 star rating.  I'd go again and you should
NEGATIVE,Was not impressed with this place. The vet didn't even introduce himself. I told him I was just visiting my dad and think my dog could gotten bitten by a
POSITIVE,"Last minute as I can be. Coming in clutch with 25 minutes to spare and a wedding around the corner, these women fitted and tailored me in minutes. Came in"
POSITIVE,"Stopped by here with my wife before we left Montreal. Jon, the owner, was extremely pleasant! He spoke very highly of his coffee, and the passion was clear in the"
NEGATIVE,There's something scary about going through a drive-thru that's dark.  Come around the bend from ordering at the sign and you may think you are about to be the
POSITIVE,Thursday night - girls dinner - where to go? Luckily I had just grabbed the City Paper's Dining Guide and I realized there are a lot of places in the
NEGATIVE,"I'd read a lot about LAX prior to my first trip to Vegas, so I wanted to check it out at least one night. I showed up on a Wed."
NEGATIVE,"Terrible. Stay clear of this place. The food was way over priced along with not being all the great tasting.I don't mind paying a good amount of money for food,"
POSITIVE,"I must say I'm very impressed with this quaint, recently opened restaurant!! Being very unassuming in a strip mall akin to many other quick dine restaurants, I didn't expect much..."
POSITIVE,"After an exhausting bixi bike ride up TWO mountains and a plateau (it's really just a hill), we finally made it to lunch at La Banquise.We decided on doing take"
POSITIVE,Both my father and I enjoyed this show a lot. I think it's good for all.ages. If you have children that get scared easily be warned that there are a
POSITIVE,This place is awesome. Great food. Particularly the chicken and waffles. Everything I've had is very tasty but hard to stray from the chicken and waffles. Eat here every time
POSITIVE,Five stars for starbucks - wow. I am taking for granted that everyone knows the Starbucks chain so I don't need to go into detail regarding the usual coffee and
NEGATIVE,The only one I like is Rick he is honest and trustworthy other wise the other people are just there to up sellLet me add why do they act as
NEGATIVE,With a group of 13 service was not the best. As for BBQ.... Its just so so. Dried out food smothered with barbecue sauce. Pricey menu.
POSITIVE,"I was recommended to make a reservation here for the outside terrace where there is a stunning view of the Bellagio light and water show. Great recommendation.For three girls, we"
POSITIVE,Even though this bar is located next to the street and right off the casino you still felt like you were in a different and intimate space when you entered
POSITIVE,Aujourd'hui il fait gris et il pleut. Quoi de mieux pour se réchauffer et se remonter le moral que d'aller boire un thé/café/chocolat chaud au Café Venosa !Le café est
POSITIVE,As I was discovering new parts of Montreal...I found this gem of a place.  I'm so glad that I did...just loved their Ceviche Mixto.  It was AWESOME! 
NEGATIVE,Food was good. Took forever to get it. Not overly busy at the gilbert good truck event but we had to wait 20mins for our food. The guy at the
POSITIVE,"My liver is telling me no!!! But my body, my body is telling me yes!!! So there's two Total Wine & More in the valley, one in Henderson and one"
POSITIVE,We're back! Tonight is was Sweet n Sour Shrimp and Mongolian Beef with pork fried rice. So good :) working our way thru the menu:)
POSITIVE,Went on a weekday evening for dinner. The place was almost empty except for a few people at the bar area.  The interior of the restaurant was designed with
POSITIVE,We ordered take out on Yelp. It was super easy and they even called us to let us know they had ran out of a few things. We ordered really
POSITIVE,We received a large box of these DELICIOUS brownies from my husband's client.  They are everything the packaging claims.  THANK YOU!We will enjoy trying all the wonderful flavors;
POSITIVE,"Thin crispy crust, fresh ingredients, authentic HOT oven producing a great pie...what's not to love?  Our service was great.  If there is a downside it is that it"
NEGATIVE,"I wish I could write a review on the food. However, the hostess was completely rude and didn't even seat me. She just motioned for me to go sit somewhere."
POSITIVE,"Always amazing. Food is fast, hot and served why very attentive staff. Even when the line is long and I think I'm going to be stuck, I never am."
POSITIVE,Omg! This restaurant is amazing! It is a little on the pricey side but it is totally worth every penny! Plus you can never go wrong with all you can
NEGATIVE,"This is recommended by someone. The only best thing here is the peanut butter banana milkshake. Service was super slow, no napkin or silverware is given with our food. Our"
POSITIVE,I work nearby on Happy Valley Road and often go to George and Sons for their amazing lunch specials. They have a great lunch which beats out any chinese restaurant
POSITIVE,"Finally, the place I had on the list for such a long time and the place that is in my neighborhood made a cut.I took my boyfriend here on 03/27/15"
POSITIVE,Ordered delivery so I cannot speak to the restaurants ambiance. They promised delivery in 30 minutes and they were right on time. Pad Thai was delicious! So happy they are
NEGATIVE,I debated on reviewing this place after my initial visit and thought it wasn't worth it. About 7 months later I had an experience with them again and realized my
NEGATIVE,"Food is good, service was absolutely horrible.My friend and I wanted to some chicken wings so we decided to try this place (June 3rd 12:30am). The chicken wings are good"
POSITIVE,"We had an excellent dinner, sat at the tappanyaki grill and food was fabulous as was our chef. Did not experience any bad service, food was fresh and served quickly."
POSITIVE,Love Bdubs for many years! Service was ok minus having to flag the waitress down a few times cause she didn't check on us much and I was upset they
POSITIVE,Yea for having an aquarium in Arizona!  This was really neat and something different to do in our landlocked state. I loved racing my niece around to look at
POSITIVE,Stayed at THEHotel for a conference this past week. (A conference in Vegas - imagine that!)  And I can honestly say that I loved the modern/contemporary decor - it
NEGATIVE,Food is Nothing to write home about. I've been twice for a business dinner; service has been below average at best.
NEGATIVE,It's my own fault. I didn't read any reviews before coming here.  My daughter had just finished her swim lessons and my husband and I were undecided on where
NEGATIVE,Wow. Watched a dog handler at Freedom Park with a German Shepherd today. I didn't realize what was happening at first as I walked past. This poor dog kept crying
POSITIVE,I've said all I can say!! It's the business!!! ; ) beautiful blond at the bar was as pleasant as efficient!!
POSITIVE,"Good food, good portions, and a good staff. Defiantly coming back"
NEGATIVE,"Dear Owner that assisted us this morning,There is a calculator next to your register, I suggest you use it. You snapped at me because I said you charging me full"
POSITIVE,"I reserve 5 stars for an ""Extraordinary to Perfection"" type of experience.  131 Main came right in at my ""Very Good to Excellent"" level of service and quality and"
NEGATIVE,"Well that certainly was mediocre. Granted, I wasn't there to eat a full meal. Just wanted a beer and a pretzel. The waitress immediately laid into her upsell from the"
POSITIVE,A great place for food and atmosphere.. I get their steak salad and I will try a special here and there. I finish off with some dark chocolate fondue and
NEGATIVE,Some common-a$$ food. Nothing to see here folks. Interior is lame too. Waitress was nice though. Go to Mac's or Mert's or Saucemans if you're in the mood for this
POSITIVE,"We went for lunch here while in Vegas.  Unfortunately, when we went due to our timing (Sunday lunch) only a couple other tables were filled, so I can't give"
POSITIVE,"I probably ate the best salad I have ever eaten in my life,at the big house café. Last Friday my wife and I were on our way to Tucson and"
POSITIVE,"Rules of being a power athlete: If you can find a pair of jeans that fit your larger quads and butt and smaller waist with minimal alterations, YOU BUY THEM."
NEGATIVE,"Went today and left. Grouchy owner, pushy waitress.  Not going here unless you wish to be treated badly. Almost like you are bothering them to show up. Only day"
NEGATIVE,"I have been here several times because my parents walk here to gamble and eat. This place is what other yelpers have commented "" a place to die "". The"
NEGATIVE,"I'm not going to lie, I fell asleep maybe 3 times. It was hard to keep my eyes open. I don't know if it was from lack of sleep, drinking"
POSITIVE,"Ok so before I went to this place, I thought all nail shops were pretty much the same. It's been years since I was loyal to any. This one has"
POSITIVE,Unexpectedly well stocked Korean market.Ignore the boarded up look on the outside and you'll walk in to an oasis of hard to find Korean ingredients. There was an entire cold
POSITIVE,"I love, love, love the restaurant, the food and most of the staff at Otaku, but there are times when they make mistakes on the order or the service is"
NEGATIVE,I had a horrible experience at this restaurant because the dish I ordered was terrible - it was one of the chicken dishes with coconut milk and basil leaves. There
POSITIVE,My review of Piper's is going to be short and sweet.  I've ate and drank here countless times and I've never had a bad meal or experience.  Their
NEGATIVE,I agree with the majority of the reviews here.  Brutal.  They must be super cheap because I don't know why any shipper would use them.I had a delivery
NEGATIVE,This is about the west Charleston office. Only word I can say  is Horrible. . The screw up prescriptions. They even gave me someone else's script. Everytime my husband
POSITIVE,Make sure you eat the whole wheat salmon with sprouts
POSITIVE,It's thanks to my fellow Yelpers that I finally tried Mr Hot Potato. It was nine thirty one night and I desperately needed something tasty and nutritious to soak up
POSITIVE,"This place has been on my To Do List for some time now.  After reading the menu online, I finally went there for lunch.  I ordered:Italian Sandwich (Capicola,"
NEGATIVE,I've been to fabulous Freddy's a few times and I'm never satisfied with the job they do. Half of the time the inside of my car doesn't look like they
POSITIVE,I love Square Salon!  I found Square through a Google search when I moved to Vegas and I used to live in Centennial Hills and regardless of the amount
